word1,word2,frequency
"removed","through",16
"and","bring",16
"achieve","their",16
"among","other",16
"the","two",16
"and","often",16
"the","industry",16
"limited","resources",16
"creating","healthy",16
"fairfield","county",16
"know","you",16
"also","been",16
"prevention","council",16
"have","for",16
"agencies","are",16
"the","remaining",16
"well","being",16
"support","creating",16
"saint","francis",16
"and","reporting",16
"are","meeting",16
"implementing","the",16
"them","when",16
"please","protect",16
"for","compliance",16
"attention","and",16
"are","providing",16
"operations","line",16
"ahec","has",16
"put","the",16
"deserves","the",16
"efforts","and",16
"without","indirect",16
"efficient","and",16
"the","privilege",16
"the","already",16
"proposed","block",16
"own","homes",16
"and","accessible",16
"the","latest",16
"health","providers",16
"budget","with",16
"our","workers",16
"reduces","the",16
"state","statute",16
"block","granting",16
"has","come",16
"role","uconn",16
"service","plan",16
"prevention","services",16
"belief","that",16
"the","estimated",16
"partnership","between",16
"the","cscu",16
"place","and",16
"all","services",16
"east","hampton",16
"qualify","for",16
"urges","the",16
"all","know",16
"that","people",16
"desperately","need",16
"already","stressed",16
"but","will",16
"coordination","and",16
"feel","free",16
"mandated","obligations",16
"and","advocate",16
"eliminating","the",16
"the","middle",16
"workers","comp",16
"needs","that",16
"undergraduate","students",16
"institute","for",16
"new","milford",16
"his","proposal",16
"all","programs",16
"dental","care",16
"many","ways",16
"corps","chsc",16
"along","the",16
"need","our",16
"our","club",16
"currently","have",16
"services","cms",16
"connecticut","have",16
"very","hard",16
"potential","impact",16
"simply","can",16
"provide","support",16
"and","paving",16
"discretionary","spending",16
"they","work",16
"and","needs",16
"its","citizens",16
"doctorsdentists","etc",16
"medicaid","reimbursement",16
"social","research",16
"teach","future",16
"chronic","underfunding",16
"the","combined",16
"have","all",16
"has","shown",16
"maintain","our",16
"one","another",16
"core","healthcare",16
"best","techniques",16
"network","will",16
"and","healthy",16
"serve","more",16
"family","services",16
"agencies","have",16
"and","protect",16
"obligations","under",16
"ever","effect",16
"while","also",16
"has","received",16
"for","local",16
"since","then",16
"plan","that",16
"services","line",16
"partnerships","with",16
"service","for",16
"this","vital",16
"past","support",16
"and","council",16
"but","then",16
"for","funding",16
"schools","received",16
"directly","with",16
"legal","representation",16
"can","see",16
"the","vital",16
"and","critical",16
"would","lose",16
"malloys","budget",16
"increased","the",16
"the","backs",16
"into","account",16
"system","with",16
"regionally","and",16
"infants","and",16
"and","efficient",16
"north","central",16
"future","sincerely",16
"will","lead",16
"small","businesses",16
"and","leave",16
"for","most",16
"chronically","homeless",16
"budget","line",16
"legislative","oversight",16
"and","committee",16
"fatherhood","program",16
"consultation","and",16
"skills","training",16
"the","grant",16
"and","career",16
"parents","economic",16
"our","emergency",16
"per","month",16
"seniors","and",16
"community","service",16
"private","nonprofit",16
"again","the",16
"the","lifespan",16
"over","time",16
"preschool","program",16
"things","like",16
"central","connecticut",16
"and","survivors",16
"grant","system",16
"but","this",16
"readiness","programs",16
"look","for",16
"independence","and",16
"very","real",16
"their","full",16
"chairpersons","and",16
"hearing","senator",16
"full","potential",16
"process","the",16
"and","know",16
"economic","growth",16
"comes","from",16
"and","job",16
"other","services",16
"proposed","consolidation",16
"for","lowincome",16
"should","have",16
"provided","for",16
"crisis","line",16
"homes","for",16
"control","and",16
"service","area",16
"there","would",16
"with","dss",16
"challenging","budget",16
"haven","community",16
"and","please",16
"continue","our",16
"also","help",16
"state","are",16
"residents","that",16
"until","the",16
"connection","with",16
"million","this",16
"dss","and",16
"submitting","testimony",16
"programs","need",16
"individuals","from",16
"have","shown",16
"million","reduction",16
"with","very",16
"the","salzmann",16
"state","needs",16
"academic","facility",16
"any","cut",16
"early","intervention",16
"with","wage",16
"will","jeopardize",16
"for","almost",16
"seen","the",16
"healthy","outcomes",16
"for","hearing",16
"here","and",16
"fellow","employees",16
"latino","population",15
"the","actual",15
"and","successful",15
"the","tobacco",15
"approximately","per",15
"their","budget",15
"for","months",15
"group","and",15
"very","well",15
"short","and",15
"million","which",15
"per","person",15
"without","additional",15
"need","help",15
"best","for",15
"state","wide",15
"for","one",15
"than","what",15
"your","past",15
"are","part",15
"one","person",15
"program","manager",15
"are","needed",15
"treatment","for",15
"american","cancer",15
"has","resulted",15
"job","training",15
"the","nurturing",15
"committee","subcommittee",15
"understand","what",15
"here","for",15
"supported","the",15
"retrieved","from",15
"home","visitor",15
"violence","and",15
"needs","for",15
"every","time",15
"global","child",15
"the","healthy",15
"budget","reductions",15
"from","high",15
"and","guidance",15
"housing","supports",15
"the","law",15
"club","has",15
"administration","and",15
"technology","and",15
"who","comes",15
"southbury","training",15
"citizens","who",15
"and","juvenile",15
"person","and",15
"adjustments","for",15
"health","insurance",15
"many","additional",15
"one","ofthe",15
"grant","agency",15
"still","not",15
"that","not",15
"first","generation",15
"for","important",15
"the","leadership",15
"can","get",15
"world","without",15
"provided","the",15
"great","jobs",15
"assistance","from",15
"threatens","the",15
"rocky","hill",15
"will","never",15
"educators","and",15
"has","never",15
"prevention","efforts",15
"fiscal","challenges",15
"coordinator","for",15
"positions","and",15
"woods","health",15
"water","quality",15
"college","readiness",15
"cuts","have",15
"economic","reality",15
"great","state",15
"the","single",15
"annual","report",15
"offer","the",15
"now","that",15
"north","haven",15
"community","renewal",15
"they","help",15
"the","discovery",15
"safety","planning",15
"indicated","that",15
"cut","our",15
"blind","and",15
"and","supportive",15
"early","literacy",15
"with","significant",15
"its","unique",15
"and","implementation",15
"leadership","training",15
"attending","the",15
"for","decades",15
"our","position",15
"million","annually",15
"providers","who",15
"the","rights",15
"specifically","the",15
"for","kids",15
"education","system",15
"political","science",15
"the","streets",15
"state","park",15
"receiving","services",15
"higher","than",15
"infrastructure","and",15
"expand","the",15
"steering","committee",15
"what","was",15
"people","they",15
"enhance","the",15
"for","day",15
"resident","and",15
"and","were",15
"southwest","regional",15
"have","experienced",15
"how","proud",15
"would","significantly",15
"over","individuals",15
"cutting","funding",15
"the","identification",15
"and","member",15
"members","with",15
"unique","services",15
"meeting","with",15
"not","take",15
"state","over",15
"over","billion",15
"many","more",15
"prevent","the",15
"the","form",15
"the","adult",15
"students","for",15
"budget","situation",15
"home","reduction",15
"affirmative","action",15
"mui","hinmccormick",15
"our","clubs",15
"potential","for",15
"been","very",15
"service","provision",15
"our","help",15
"assembly","and",15
"the","honors",15
"services","please",15
"while","they",15
"tremendous","benets",15
"budget","crisis",15
"critical","role",15
"balancing","the",15
"take","away",15
"the","things",15
"person","program",15
"and","having",15
"the","wrong",15
"our","mental",15
"the","previous",15
"have","sustained",15
"future","for",15
"services","regional",15
"conditions","and",15
"members","the",15
"say","how",15
"center","february",15
"ending","homelessness",15
"considering","the",15
"techniques","from",15
"for","kindergarten",15
"public","library",15
"are","trying",15
"proposed","system",15
"with","both",15
"taking","care",15
"they","could",15
"but","our",15
"something","that",15
"this","community",15
"areas","that",15
"child","advocate",15
"well","and",15
"engineering","services",15
"years","our",15
"keep","our",15
"care","workers",15
"shelter","and",15
"schools","like",15
"workers","acknowledging",15
"other","families",15
"tuesday","february",15
"and","must",15
"allow","the",15
"communities","with",15
"medicaid","abi",15
"you","need",15
"the","recession",15
"call","for",15
"that","said",15
"and","continued",15
"directly","impact",15
"statewide","toll",15
"highly","educated",15
"move","into",15
"important","core",15
"end","sexual",15
"every","week",15
"summary","the",15
"organizations","that",15
"everything","they",15
"and","contribute",15
"could","get",15
"funding","cut",15
"individual","and",15
"the","treatment",15
"renewal","team",15
"control","costs",15
"consolidate","this",15
"southwestern","ahec",15
"and","women",15
"park","system",15
"paid","for",15
"and","thus",15
"are","better",15
"for","substance",15
"where","she",15
"clear","that",15
"the","numbers",15
"would","help",15
"comp","insurance",15
"less","likely",15
"have","served",15
"the","supports",15
"young","woman",15
"health","trust",15
"was","there",15
"with","each",15
"navigate","the",15
"the","husky",15
"nonprofit","providers",15
"that","come",15
"coupled","with",15
"food","service",15
"schools","are",15
"these","critical",15
"remember","that",15
"transit","service",15
"and","develop",15
"children","that",15
"but","are",15
"met","with",15
"scal","year",15
"choice","for",15
"providing","them",15
"from","other",15
"services","system",15
"inc","archdiocese",15
"experience","with",15
"and","academic",15
"services","but",15
"health","public",15
"outreach","and",15
"decimate","the",15
"developmentally","disabled",15
"and","institutions",15
"abi","medicaid",15
"dollar","invested",15
"and","further",15
"please","reconsider",15
"charities","inc",15
"with","tourism",15
"services","would",15
"rest","areas",15
"future","our",15
"provide","testimony",15
"quickly","and",15
"last","few",15
"outpatient","mental",15
"the","government",15
"our","kids",15
"were","cut",15
"the","increasing",15
"and","policy",15
"this","federal",15
"the","establishment",15
"violence","shelters",15
"from","nursing",15
"the","changes",15
"ahec","provides",15
"been","doing",15
"their","health",15
"programs","will",15
"environment","and",15
"worked","hard",15
"will","affect",15
"with","autism",15
"grant","approach",15
"with","two",15
"children","need",15
"related","funding",15
"representing","the",15
"suicide","prevention",15
"carry","out",14
"and","improve",14
"please","take",14
"commission","lprac",14
"connecticut","february",14
"care","act",14
"state","colleges",14
"services","subcommittee",14
"based","upon",14
"prepare","for",14
"who","struggle",14
"seeking","the",14
"services","under",14
"knowledge","that",14
"school","that",14
"disease","and",14
"will","become",14
"outpatient","services",14
"time","required",14
"awareness","and",14
"the","budgets",14
"costs","total",14
"one","example",14
"including","oral",14
"the","start",14
"associate","professor",14
"help","families",14
"six","years",14
"that","require",14
"connecticut","resident",14
"please","keep",14
"with","funding",14
"and","secure",14
"together","and",14
"prevention","initiative",14
"came","from",14
"would","cost",14
"state","thank",14
"life","the",14
"the","advocate",14
"the","assistance",14
"from","state",14
"had","not",14
"interprofessional","healthcare",14
"than","they",14
"elderly","and",14
"the","sbhc",14
"foreclosure","prevention",14
"connection","program",14
"and","rehabilitation",14
"have","heard",14
"and","because",14
"the","mother",14
"with","adult",14
"almost","years",14
"they","did",14
"funding","reductions",14
"total","cuts",14
"working","and",14
"and","professional",14
"not","limited",14
"getting","harder",14
"school","diploma",14
"the","juvenile",14
"members","who",14
"parent","trust",14
"for","biac",14
"with","indirect",14
"facility","could",14
"will","mean",14
"recognizes","that",14
"avoid","the",14
"the","lowest",14
"and","intervention",14
"the","police",14
"over","children",14
"experiences","and",14
"how","can",14
"cut","for",14
"visits","and",14
"southern","connecticut",14
"have","lost",14
"family","that",14
"cope","with",14
"connecticut","can",14
"state","independent",14
"strengths","and",14
"consideration","sincerely",14
"would","likely",14
"which","seeks",14
"responsibilities","according",14
"and","being",14
"housing","can",14
"states","core",14
"education","program",14
"guidance","and",14
"dds","community",14
"enable","the",14
"are","grateful",14
"loved","one",14
"inc","main",14
"state","millions",14
"national","studies",14
"the","facility",14
"past","several",14
"have","given",14
"conservation","development",14
"and","strengthen",14
"out","there",14
"norwich","and",14
"the","street",14
"with","cms",14
"has","grown",14
"encourage","you",14
"them","from",14
"wage","for",14
"for","residential",14
"requires","and",14
"more","work",14
"recovery","from",14
"are","high",14
"from","new",14
"and","transparent",14
"proposal","doesnt",14
"states","investment",14
"these","schools",14
"would","reduce",14
"alzheimers","association",14
"all","those",14
"outcomes","and",14
"underserved","populations",14
"money","but",14
"the","final",14
"receive","funding",14
"federal","program",14
"state","universities",14
"federal","grants",14
"day","the",14
"teaching","and",14
"for","you",14
"all","families",14
"fight","for",14
"the","neediest",14
"and","enhance",14
"states","that",14
"and","able",14
"review","process",14
"vast","majority",14
"community","organizations",14
"the","culture",14
"are","dedicated",14
"income","and",14
"the","disease",14
"residents","have",14
"dollar","cut",14
"with","access",14
"collaborate","with",14
"living","demonstration",14
"unique","and",14
"the","regions",14
"system","which",14
"please","contact",14
"facing","the",14
"revenue","stream",14
"science","center",14
"peer","counseling",14
"the","park",14
"emergency","services",14
"the","point",14
"and","benefits",14
"acute","care",14
"have","their",14
"thank","the",14
"trinity","street",14
"population","has",14
"parent","even",14
"fee","for",14
"and","important",14
"states","coffers",14
"member","agencies",14
"staff","are",14
"the","unit",14
"the","original",14
"being","provided",14
"individuals","served",14
"speak","for",14
"biennial","budget",14
"working","together",14
"abercrombie","and",14
"this","very",14
"connecticut","requires",14
"asked","for",14
"current","level",14
"sure","you",14
"older","adult",14
"have","always",14
"youth","development",14
"intact","for",14
"this","critical",14
"reducing","funding",14
"combined","block",14
"effective","interprofessional",14
"that","same",14
"continuing","education",14
"further","reductions",14
"network","structure",14
"governor","seeks",14
"diverse","well",14
"heard","and",14
"first","hand",14
"services","our",14
"the","appropriation",14
"south","windsor",14
"june","which",14
"connecticut","economic",14
"living","and",14
"state","services",14
"the","cthss",14
"include","the",14
"person","who",14
"leaving","the",14
"effect","the",14
"parenting","skills",14
"could","deliver",14
"has","suffered",14
"mandated","requirement",14
"recently","been",14
"both","waivers",14
"councils","that",14
"and","forests",14
"other","expenses",14
"been","almost",14
"are","one",14
"its","potential",14
"additional","pressures",14
"would","never",14
"for","seniors",14
"funding","was",14
"yalenew","haven",14
"amazing","job",14
"for","free",14
"against","the",14
"resources","available",14
"pressures","beyond",14
"difficult","budget",14
"the","decd",14
"will","devastate",14
"for","older",14
"states","medicaid",14
"children","youth",14
"prevention","education",14
"tax","payers",14
"the","advocacy",14
"schools","for",14
"and","helping",14
"costs","related",14
"south","central",14
"groups","throughout",14
"going","forward",14
"naugatuck","valley",14
"almost","million",14
"part","time",14
"budget","proposals",14
"all","types",14
"the","length",14
"place","where",14
"budget","recommendation",14
"are","only",14
"with","high",14
"the","good",14
"fund","this",14
"future","the",14
"the","deep",14
"than","any",14
"open","space",14
"has","changed",14
"bipolar","disorder",14
"class","and",14
"would","need",14
"may","need",14
"the","assisted",14
"maximize","the",14
"february","submitted",14
"environment","that",14
"professor","and",14
"the","appropriate",14
"proposal","would",14
"program","would",14
"governors","bill",14
"working","hard",14
"including","funding",14
"students","like",14
"they","had",14
"the","delivery",14
"benefits","that",14
"once","the",14
"departments","and",14
"disseminating","information",14
"moving","forward",14
"have","ever",14
"postsecondary","education",14
"funding","intact",14
"deliver","its",14
"into","consideration",14
"monthly","support",14
"changes","and",14
"june","dear",14
"because","there",14
"get","back",14
"increases","the",14
"this","and",14
"middle","class",14
"and","service",14
"performing","arts",14
"fully","funded",14
"agency","budget",14
"provides","critical",14
"times","the",14
"complex","needs",14
"the","group",14
"first","state",14
"their","kids",14
"these","decisions",14
"which","allows",14
"almost","every",14
"foundation","for",14
"human","and",14
"additional","funds",14
"health","disparities",14
"the","acuity",14
"provided","through",13
"wants","for",13
"area","the",13
"facilitating","free",13
"new","training",13
"injury","their",13
"only","for",13
"agencies","including",13
"not","having",13
"ripple","effect",13
"application","submitted",13
"additional","sources",13
"its","not",13
"start","and",13
"wife","and",13
"contract","including",13
"staffing","this",13
"free","support",13
"the","operating",13
"state","have",13
"include","supporting",13
"setting","methodology",13
"private","and",13
"organization","and",13
"state","must",13
"families","without",13
"services","there",13
"taxes","and",13
"care","settings",13
"received","services",13
"school","for",13
"for","such",13
"who","may",13
"state","programs",13
"lprac","has",13
"that","families",13
"not","less",13
"educate","the",13
"and","commitment",13
"and","growth",13
"difference","between",13
"budget","savings",13
"school","graduates",13
"well","aware",13
"million","investment",13
"new","hampshire",13
"providing","consultation",13
"support","number",13
"their","representatives",13
"receive","from",13
"and","current",13
"legislators","and",13
"basic","human",13
"necessary","and",13
"the","change",13
"dss","biac",13
"our","mandated",13
"return","home",13
"who","rely",13
"youth","services",13
"are","people",13
"cancer","society",13
"strive","every",13
"all","funding",13
"for","sexual",13
"husky","program",13
"for","which",13
"doing","here",13
"adult","mental",13
"that","even",13
"consider","any",13
"chief","executive",13
"stability","and",13
"environmental","quality",13
"radiology","and",13
"grant","and",13
"brother","and",13
"serves","the",13
"for","three",13
"know","about",13
"for","dds",13
"service","programs",13
"middletown","even",13
"competitive","grant",13
"the","four",13
"you","would",13
"like","ours",13
"and","increase",13
"child","welfare",13
"state","tourism",13
"care","employees",13
"will","once",13
"closing","the",13
"economic","times",13
"disorder","and",13
"support","them",13
"only","are",13
"most","recent",13
"connecticut","good",13
"can","say",13
"than","half",13
"school","funding",13
"barnes","road",13
"reduced","the",13
"more","complex",13
"strongly","supports",13
"action","agencies",13
"disabilities","the",13
"building","and",13
"completely","eliminate",13
"meetings","and",13
"malloy","has",13
"mothers","who",13
"the","message",13
"effectively","and",13
"choice","but",13
"the","solution",13
"relationships","with",13
"free","monthly",13
"and","helps",13
"are","paid",13
"thus","far",13
"injury","facilitating",13
"the","question",13
"best","and",13
"providers","training",13
"the","reinstatement",13
"although","the",13
"regarding","participant",13
"significant","investment",13
"her","family",13
"and","board",13
"the","kids",13
"this","approach",13
"you","take",13
"regular","basis",13
"and","taxes",13
"june","the",13
"funds","its",13
"many","individuals",13
"requires","the",13
"her","advocate",13
"this","problem",13
"leadership","skills",13
"the","participant",13
"data","from",13
"will","remain",13
"more","information",13
"materials","and",13
"future","doctorsdentists",13
"society","and",13
"from","dss",13
"and","rehabilitative",13
"advanced","training",13
"significant","cuts",13
"program","these",13
"our","annual",13
"and","dss",13
"the","biac",13
"the","chief",13
"with","house",13
"state","aid",13
"budget","revisions",13
"slowing","the",13
"him","for",13
"health","challenges",13
"services","were",13
"transitional","college",13
"the","ones",13
"the","amendments",13
"cms","include",13
"people","have",13
"evening","chairpersons",13
"dollars","are",13
"resource","facilitation",13
"humanities","council",13
"cost","and",13
"poverty","and",13
"funds","the",13
"the","vision",13
"really","beyond",13
"the","expense",13
"son","was",13
"housing","sites",13
"costs","associated",13
"our","collective",13
"and","initiatives",13
"and","very",13
"soup","kitchen",13
"cuts","contained",13
"turn","for",13
"their","choice",13
"education","thank",13
"this","summer",13
"families","caregivers",13
"increase","that",13
"biac","information",13
"and","experience",13
"state","faces",13
"and","counseling",13
"number","providing",13
"the","protection",13
"state","contracting",13
"give","you",13
"him","and",13
"importantly","the",13
"from","having",13
"for","service",13
"understand","and",13
"tobacco","and",13
"children","receive",13
"has","recently",13
"issues","with",13
"not","received",13
"that","services",13
"youth","who",13
"charged","with",13
"quality","early",13
"tax","dollars",13
"passed","away",13
"support","they",13
"organization","approved",13
"center","concerning",13
"tourism","and",13
"the","apa",13
"its","contract",13
"you","sincerely",13
"and","where",13
"which","means",13
"peers","and",13
"concerns","regarding",13
"free","resources",13
"provide","advanced",13
"economic","driver",13
"the","conservation",13
"pay","the",13
"vulnerable","residents",13
"high","level",13
"the","specific",13
"state","assistance",13
"the","bank",13
"longstanding","provider",13
"independence","the",13
"current","system",13
"activities","that",13
"and","supporting",13
"people","will",13
"end","the",13
"keep","them",13
"reject","this",13
"most","needy",13
"land","conservation",13
"longterm","plan",13
"rates","the",13
"testimony","appropriations",13
"testimony","opposing",13
"and","general",13
"through","its",13
"consumers","who",13
"training","without",13
"with","people",13
"get","away",13
"social","justice",13
"need","based",13
"vital","programs",13
"service","that",13
"one","else",13
"apa","community",13
"questions","about",13
"needbased","aid",13
"and","increasing",13
"chapel","haven",13
"everyone","wants",13
"please","feel",13
"the","session",13
"priorities","and",13
"doing","more",13
"with","respect",13
"breast","cancer",13
"live","within",13
"has","taken",13
"critical","programs",13
"connecticut","coalition",13
"testify","before",13
"realize","that",13
"leisure","and",13
"been","providing",13
"waivers","which",13
"and","only",13
"through","biac",13
"human","service",13
"initiative","and",13
"for","future",13
"serve","children",13
"their","caregivers",13
"foster","care",13
"and","getting",13
"you","cut",13
"our","student",13
"february","the",13
"sexual","abuse",13
"parents","have",13
"access","for",13
"neighbors","and",13
"carefully","consider",13
"committee","regarding",13
"less","funding",13
"education","services",13
"including","dss",13
"plan","development",13
"limit","the",13
"states","and",13
"these","types",13
"the","special",13
"care","systems",13
"create","and",13
"advance","the",13
"community","related",13
"ihave","been",13
"vulnerable","and",13
"hope","and",13
"has","created",13
"learn","more",13
"this","fiscal",13
"speak","before",13
"great","strides",13
"families","will",13
"facilitation","for",13
"grow","and",13
"has","declined",13
"the","sake",13
"the","basic",13
"funding","sources",13
"maintaining","funding",13
"ongoing","nancial",13
"learned","about",13
"commission","has",13
"department","including",13
"direct","impact",13
"others","like",13
"has","always",13
"their","peers",13
"using","the",13
"the","physical",13
"family","service",13
"consider","restoring",13
"projected","year",13
"the","rates",13
"hearing","connecticut",13
"health","agencies",13
"long","and",13
"without","continued",13
"dss","contracts",13
"doing","the",13
"the","humanities",13
"regain","their",13
"senator","slossberg",13
"the","scope",13
"their","future",13
"money","that",13
"contract","related",13
"services","across",13
"who","want",13
"seek","additional",13
"speak","about",13
"budget","has",13
"the","agricultural",13
"second","year",13
"past","and",13
"participant","direction",13
"this","legislature",13
"impossible","for",13
"firsthand","how",13
"suggest","that",13
"the","investment",13
"connecticut","academy",13
"farm","bureau",13
"asthma","and",13
"for","very",13
"assessment","and",13
"and","consultation",13
"longterm","services",13
"one","thing",13
"child","maltreatment",13
"medicaid","patients",13
"after","years",13
"since","when",13
"businesses","and",13
"the","decision",13
"prevention","funding",12
"opportunities","the",12
"district","and",12
"continued","significant",12
"the","negative",12
"much","harder",12
"all","women",12
"our","institutions",12
"needs","such",12
"challenges","the",12
"evening","members",12
"medical","students",12
"sen","bye",12
"most","recently",12
"know","this",12
"programs","offering",12
"flexer","representative",12
"reach","out",12
"daughter","and",12
"are","from",12
"possible","without",12
"state","but",12
"have","reached",12
"mental","illnesses",12
"and","benefit",12
"the","phone",12
"make","sense",12
"our","youngest",12
"being","proposed",12
"essential","for",12
"and","increases",12
"the","nfn",12
"health","has",12
"the","expertise",12
"our","hospitals",12
"possible","and",12
"past","few",12
"without","them",12
"for","someone",12
"again","this",12
"the","increased",12
"self","sufficiency",12
"living","skills",12
"has","experienced",12
"limited","funding",12
"implore","you",12
"its","getting",12
"too","much",12
"devoted","caregivers",12
"has","done",12
"the","working",12
"the","opportunities",12
"quality","education",12
"school","because",12
"for","domestic",12
"population","ages",12
"more","effectively",12
"another","million",12
"proven","that",12
"reason","its",12
"protect","them",12
"concern","for",12
"was","given",12
"fix","the",12
"saved","the",12
"inundated","with",12
"development","the",12
"funding","thank",12
"utilities","and",12
"even","the",12
"waterbury","public",12
"one","out",12
"important","issues",12
"opportunities","that",12
"for","success",12
"educational","opportunities",12
"simply","not",12
"rigorous","curriculum",12
"unmet","needs",12
"with","him",12
"london","even",12
"web","site",12
"and","sexual",12
"homes","are",12
"removed","from",12
"cut","across",12
"industry","where",12
"state","please",12
"legislative","branch",12
"have","many",12
"initiative","program",12
"classroom","and",12
"each","agency",12
"participant","with",12
"are","served",12
"matter","sincerely",12
"address","this",12
"offer","our",12
"rep","walker",12
"providing","high",12
"clients","who",12
"never","have",12
"and","pay",12
"raising","the",12
"has","brought",12
"ahec","networks",12
"students","enrolled",12
"network","has",12
"respite","check",12
"connecticut","college",12
"and","personal",12
"developing","and",12
"this","letter",12
"would","ask",12
"judicial","branchs",12
"connecticut","medicaid",12
"system","our",12
"connecticut","valley",12
"center","serves",12
"experience","for",12
"this","organization",12
"additional","million",12
"family","centered",12
"statewide","tourism",12
"several","sections",12
"way","the",12
"those","needs",12
"can","support",12
"communities","throughout",12
"must","make",12
"center","has",12
"evidence","based",12
"and","west",12
"essential","economic",12
"eight","years",12
"network","line",12
"transit","for",12
"detection","program",12
"revenue","for",12
"aging","population",12
"connecticut","was",12
"staff","time",12
"park","and",12
"the","severe",12
"economic","recovery",12
"clients","are",12
"model","that",12
"the","planning",12
"over","employees",12
"particular","the",12
"the","arc",12
"affordable","senior",12
"remove","the",12
"every","single",12
"crisis","counseling",12
"engineering","and",12
"and","improving",12
"senators","and",12
"and","provided",12
"not","enough",12
"hospital","submitted",12
"kids","are",12
"haven","health",12
"like","many",12
"again","fall",12
"travelers","the",12
"adopt","the",12
"during","that",12
"organization","has",12
"mortgagelease","payments",12
"you","continue",12
"the","implementation",12
"senior","citizens",12
"but","there",12
"with","students",12
"the","standard",12
"capitol","avenue",12
"barnum","museum",12
"this","point",12
"the","leading",12
"and","stay",12
"one","more",12
"school","systems",12
"the","the",12
"and","caregivers",12
"with","limited",12
"for","programs",12
"funding","our",12
"would","end",12
"orthodontic","treatment",12
"cuts","from",12
"quality","affordable",12
"past","the",12
"connecticut","where",12
"community","lender",12
"the","answer",12
"budget","which",12
"their","funding",12
"computer","system",12
"will","ultimately",12
"addressing","the",12
"you","want",12
"and","heritage",12
"survivors","and",12
"they","dont",12
"people","the",12
"would","make",12
"because","she",12
"stress","and",12
"present","level",12
"allow","them",12
"the","effort",12
"great","recession",12
"street","suite",12
"this","for",12
"clients","families",12
"worried","about",12
"the","mechanism",12
"any","time",12
"when","compared",12
"yet","another",12
"childhood","programs",12
"later","the",12
"today","because",12
"and","maintaining",12
"believe","this",12
"disabilities","are",12
"and","staffing",12
"request","for",12
"list","and",12
"supports","many",12
"dura","biotech",12
"housing","program",12
"next","years",12
"your","efforts",12
"care","experience",12
"state","regional",12
"student","and",12
"regional","fire",12
"state","dollars",12
"and","lack",12
"uconn","was",12
"the","benefit",12
"medication","drop",12
"being","taught",12
"despite","every",12
"senator","flexer",12
"have","attended",12
"found","out",12
"you","senator",12
"future","students",12
"tourism","industry",12
"the","class",12
"graduate","from",12
"this","client",12
"who","attend",12
"was","reduced",12
"very","best",12
"parenting","education",12
"budget","appropriations",12
"school","education",12
"their","life",12
"the","challenge",12
"work","they",12
"equal","access",12
"and","end",12
"individuals","are",12
"its","inception",12
"that","meet",12
"workers","are",12
"this","progress",12
"right","here",12
"cut","back",12
"marketing","efforts",12
"and","agencies",12
"from","one",12
"the","integrity",12
"capacity","for",12
"connecticuts","citizens",12
"for","parents",12
"care","great",12
"year","has",12
"away","the",12
"research","programs",12
"time","job",12
"more","effective",12
"equipment","and",12
"programs","would",12
"program","are",12
"which","helps",12
"can","benefit",12
"education","public",12
"but","because",12
"and","civil",12
"the","landlord",12
"general","manager",12
"fresh","produce",12
"and","open",12
"but","with",12
"health","safety",12
"medical","student",12
"for","medical",12
"direction","disseminating",12
"president","ceo",12
"centers","the",12
"and","core",12
"the","officer",12
"dds","through",12
"provide","essential",12
"after","being",12
"and","coordination",12
"costs","the",12
"the","story",12
"progress","and",12
"take","advantage",12
"rate","for",12
"all","have",12
"way","connecticut",12
"was","years",12
"have","witnessed",12
"dcf","and",12
"staffing","levels",12
"numerous","state",12
"respite","services",12
"sales","tax",12
"high","demand",12
"taking","away",12
"present","testimony",12
"with","contracting",12
"response","system",12
"doing","what",12
"the","essential",12
"young","man",12
"year","ago",12
"adults","the",12
"and","toddlers",12
"discovery","museum",12
"important","part",12
"face","the",12
"consumers","and",12
"all","stakeholders",12
"per","student",12
"this","network",12
"find","the",12
"that","funds",12
"are","designed",12
"athena","health",12
"are","aware",12
"connecticut","sincerely",12
"community","involvement",12
"institutional","care",12
"three","times",12
"take","place",12
"already","fragile",12
"contract","please",12
"those","core",12
"childhood","home",12
"aid","and",12
"and","require",12
"construction","engineering",12
"have","that",12
"professional","and",12
"this","level",12
"paying","for",12
"and","respect",12
"child","with",12
"program","funding",12
"all","want",12
"that","some",12
"dont","want",12
"the","rate",12
"that","allow",12
"for","medicare",12
"communities","for",12
"and","confidential",12
"challenges","making",12
"support","programs",12
"serve","our",12
"members","have",12
"public","sector",12
"find","out",12
"city","and",12
"this","project",12
"our","costs",12
"proposed","reductions",12
"are","looking",12
"state","economy",12
"tax","the",12
"nonprofit","organizations",12
"those","funds",12
"the","testimony",12
"provides","help",12
"services","hospitals",12
"readiness","and",12
"just","the",12
"medicaid","initiatives",12
"implement","the",12
"older","and",12
"they","pay",12
"strength","and",12
"behavioral","and",12
"will","happen",12
"eim","street",12
"for","housing",12
"feel","safe",12
"care","about",12
"our","government",12
"child","who",12
"many","victims",12
"going","through",12
"southeastern","connecticut",12
"connecticut","library",12
"all","people",12
"significantly","increase",12
"livable","communities",12
"community","they",12
"can","lead",12
"for","residents",12
"not","give",12
"coffers","and",12
"victims","are",12
"need","their",12
"seven","years",12
"the","nonprofit",12
"over","connecticut",12
